MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS,IMDb Link,720p torrent,1080p torrent
,,,,,,
Five Thirteen (2013),4.3,43,"30,822",https://www.imdb.com/title/tt1536051/,https://yts.am/torrent/download/4B1D07D39A599E70EBF0AB4D5419168E6198B334,https://yts.am/torrent/download/209C97F3DEDBBD535D2612DECEFEF8B10348C176
,,,,,,
The Physician (2013),7.2,290,"2,05,519",https://www.imdb.com/title/tt2101473/,https://yts.am/torrent/download/3DE0E712410D319C62184995CBCB99DB75A97313,https://yts.am/torrent/download/00C87742B8ABF450832FA43DDCD7849037BEE355
,,,,,,
Gimme Shelter (2013),6.5,99,"60,061",https://www.imdb.com/title/tt1657510/,https://yts.am/torrent/download/CDB652BD08550DC4696EDA9CBD5DF496503329F3,https://yts.am/torrent/download/4599BD38BDBDD4F1F915596889E59C063C145ED6
,,,,,,
The Art of the Steal (2013),6.3,258,"2,36,424",https://www.imdb.com/title/tt2172985/,https://yts.am/torrent/download/49049F1A54DF7E21EBB1FB268D683C5D258A7CD0,https://yts.am/torrent/download/3BA0F6A0D5311A31F285680B8D6E296FE8237D21
,,,,,,
Twice Born (2012),7.4,162,"1,09,322",https://www.imdb.com/title/tt1396226/,https://yts.am/torrent/download/332740D1E902962EDD830D2256E257CCD83AD7E9,https://yts.am/torrent/download/009FA712BA00A89B382DC8084D7C7D9450B1E12A
,,,,,,
Gun Crazy (1950),7.7,60,"16,655",https://www.imdb.com/title/tt0042530/,https://yts.am/torrent/download/0D3D775546BFECBA421C3976B76A00A13B2FDC51,https://yts.am/torrent/download/FB142F3F3D30050BDE2DAF74CA08C8FEB5A781B9
,,,,,,
War of the Worlds: Goliath (2012),5.5,115,"83,064",https://www.imdb.com/title/tt2320924/,https://yts.am/torrent/download/B2D84303CCD333A014CEF121B712776E5E7CDB66,https://yts.am/torrent/download/072161181FC34CB9AC5EDA786B1A2D1531B102A2
,,,,,,
Labor Day (2013),6.9,220,"1,25,206",https://www.imdb.com/title/tt1967545/,https://yts.am/torrent/download/9B639EBBF61B2B6A2D62712E164B8F9D1CDBD297,https://yts.am/torrent/download/A7478AC394726E8F7A1DC8C7F497988E1C05F8CD
,,,,,,
Mega Shark vs. Mecha Shark (2014),2.6,80,"68,353",https://www.imdb.com/title/tt3152098/,https://yts.am/torrent/download/3A7C2B48C711E1AB15EF6106C6E1903F8F7C1078,https://yts.am/torrent/download/BA83049E0E5177FDA98C40CB0028B4ECAB68F05E
,,,,,,
Wonderwall (1968),5.6,33,"10,599",https://www.imdb.com/title/tt0065224/,https://yts.am/torrent/download/D5358CD0DD3B18741FA0DE2612C014898172BE10,https://yts.am/torrent/download/69DE31491295B1FF81A27030CF5D6091F4D34E65
,,,,,,
Pit Stop (1969),6.8,32,"12,878",https://www.imdb.com/title/tt0064819/,https://yts.am/torrent/download/D30B4B08D41DBD7CE1B820E32D5EB29ED2DEF704,https://yts.am/torrent/download/CFAC056FF72B9109576E0E9666D3E084573FFBC5
,,,,,,
Gulliver's Travels (1939),6.8,59,"27,269",https://www.imdb.com/title/tt0031397/,https://yts.am/torrent/download/D30B4B08D41DBD7CE1B820E32D5EB29ED2DEF704,https://yts.am/torrent/download/C6DA652A6FB2DFFE6DF1875F7977F6C094E42558
,,,,,,
Circus World (1964),6.2,32,"16,803",https://www.imdb.com/title/tt0057952/,https://yts.am/torrent/download/D30B4B08D41DBD7CE1B820E32D5EB29ED2DEF704,https://yts.am/torrent/download/369AB00C03BD963F0C83D2F4E1086BD08BBF556B
,,,,,,
Grand Piano (2013),5.9,110,"60,159",https://www.imdb.com/title/tt2039345/,https://yts.am/torrent/download/848725D711A158CF0A629461B189CDFA4557E717,https://yts.am/torrent/download/C81B3A93F16A615FB074CB6A2BAE727394346196
,,,,,,
Zulu (2013),6.7,166,"95,366",https://www.imdb.com/title/tt2249221/,https://yts.am/torrent/download/09F7A610C2DCD0D2494A166D4EB66C7386F3E880,https://yts.am/torrent/download/051BC8B1398722C83AB88DC48015D8731A773C3A
,,,,,,
55 Days at Peking (1963),6.8,55,"21,079",https://www.imdb.com/title/tt0056800/,https://yts.am/torrent/download/DDAD3B228E5E41305D916A67BB9689B1E0910B9C,https://yts.am/torrent/download/3364B71C2862D7BB72FFADDEEA9801404450B638
,,,,,,
Cocaine Cowboys (2006),7.9,58,"75,694",https://www.imdb.com/title/tt0380268/,https://yts.am/torrent/download/DDAD3B228E5E41305D916A67BB9689B1E0910B9C,https://yts.am/torrent/download/2A3B254BAABF55E59A5E658AA0CF9D14F3EC2B18
,,,,,,
Sorcerer (1977),7.8,105,"45,812",https://www.imdb.com/title/tt0076740/,https://yts.am/torrent/download/96A465402CB00825DC797A51E7E1BC94098AE557,https://yts.am/torrent/download/926B567797B79ADDEAF7BE45D39C62466A5DCCC5
,,,,,,
Chances Are (1989),6.4,69,"24,432",https://www.imdb.com/title/tt0097044/,https://yts.am/torrent/download/E9011621EC03C9FDD9B4B7CC3E2C3BA76265A936,https://yts.am/torrent/download/3D5DBB6F9AA1B338BDA97CE5D0DCDFDF55A3509D
,,,,,,
Get Carter (2000),5.1,106,"56,505",https://www.imdb.com/title/tt0208988/,https://yts.am/torrent/download/8C6E775AD09ED94DFB19F5B8592214AC611C2293,https://yts.am/torrent/download/6FECBDF851F3FA960F6DB54EFD9728F2F17D9945
,,,,,,
Rock Star (2001),6.2,121,"53,747",https://www.imdb.com/title/tt0202470/,https://yts.am/torrent/download/F61DC11A7C93A8B7E9882B1F5C95B6481A95ABF8,https://yts.am/torrent/download/C818540A241FCCF61F61A3929161EB3377929E40
,,,,,,
Exit Wounds (2001),5.5,79,"40,844",https://www.imdb.com/title/tt0242445/,https://yts.am/torrent/download/8DC86C84850868DCF53CA76CDB63ADC0EADB589C,https://yts.am/torrent/download/D8AE5A0AC7670857B819ED11863964D7A006B235
,,,,,,
Scooby-Doo! WrestleMania Mystery (2014),6.4,179,"1,49,622",https://www.imdb.com/title/tt2337576/,https://yts.am/torrent/download/D67AC7B4B41F9E514C499F41E9D913673286D79F,https://yts.am/torrent/download/BDA60080D370A9AD5ED09B50838B96339926B999
,,,,,,
The Devil's Violinist (2013),6.1,80,"49,976",https://www.imdb.com/title/tt2401715/,https://yts.am/torrent/download/DEF957B8D4E5DA42D1CECD2E01689D7E8BB962A4,https://yts.am/torrent/download/FED4735F93F4703E5A7A77E57613E37E7686909A
,,,,,,
Conspiracy Theory (1997),6.7,141,"66,184",https://www.imdb.com/title/tt0118883/,https://yts.am/torrent/download/F7F33288EB6EDDD74FA1B0F2EC941B02BD4A638A,https://yts.am/torrent/download/D1CD37F1674C26BB2CA896010FF8E0BED83AE958
,,,,,,
Get Carter (1971),7.5,88,"37,582",https://www.imdb.com/title/tt0067128/,https://yts.am/torrent/download/F83C38DD1D7F494B8C06A9ED3AD74308EAD0356B,https://yts.am/torrent/download/E40A5E96418B1F77E22FF71A2DACE9F31BA7FCB9
,,,,,,
Return to Nuke 'Em High Volume 1 (2013),5.6,53,"28,352",https://www.imdb.com/title/tt2279922/,https://yts.am/torrent/download/90828B5F6974CE169CD1055D53C6CD325AC836AF,https://yts.am/torrent/download/C342C6183945DBFA48322D3B2DDC1EB20F81F677
,,,,,,
Best Night Ever (2013),4,53,"47,970",https://www.imdb.com/title/tt2499414/,https://yts.am/torrent/download/57D1324789A3838DAFD5FCBCC75562EEC2A8059C,https://yts.am/torrent/download/B378FC9AA56729ADDA8D8CE6CC072EAC4B5CC223
,,,,,,
Murph: The Protector (2013),6.7,80,"99,497",https://www.imdb.com/title/tt1790825/,https://yts.am/torrent/download/F4A354CF883CE2E46189A102C468942E489F9A09,https://yts.am/torrent/download/B378FC9AA56729ADDA8D8CE6CC072EAC4B5CC223
,,,,,,
He Who Dares (2014),3,72,"95,551",https://www.imdb.com/title/tt2740538/,https://yts.am/torrent/download/B91B087BAE167BA48BD978EB3BD2AD0B40B0A60A,https://yts.am/torrent/download/FBF9970B574CCED9A964A4622CF8E02CA79BDD71
,,,,,,
The Machine (2013),6.1,350,"2,81,692",https://www.imdb.com/title/tt2317225/,https://yts.am/torrent/download/0220F41BA92DD67D74E7AED4D3557BAF8400482F,https://yts.am/torrent/download/C55BD99643706B9B4F4A700090F39DA2F80BBD04
,,,,,,
Sparks (2013),5.6,261,"2,86,568",https://www.imdb.com/title/tt2234429/,https://yts.am/torrent/download/852A77B9A4E3A3C4A5B3ABF1BFC47FB7E5035095,https://yts.am/torrent/download/0D5573F72DD7AC3C52B7276FB176572DEE95C518
,,,,,,
Vamp U (2011),4,126,"1,44,570",https://www.imdb.com/title/tt1727885/,https://yts.am/torrent/download/3A3FCE7C81B3CD6DDBE1AE7C4CF918A94F27A240,https://yts.am/torrent/download/D8029DC501E2C6DDEEA9A927170AE5C240FF7483
,,,,,,
Jewtopia (2012),4.4,70,"43,421",https://www.imdb.com/title/tt0878814/,https://yts.am/torrent/download/FB0F57D5C26A6C2DE770419AC079787A7B5B27C4,https://yts.am/torrent/download/7298166849CD8E95AD837E0AE6CC09621D578642
,,,,,,
Snowpiercer (2013),7.1,663,"6,13,456",https://www.imdb.com/title/tt1706620/,https://yts.am/torrent/download/F6FB02591033CA6A3C9D48596746191AB71CB2D4,https://yts.am/torrent/download/FE305724B1EA9F0FB142A6A46D425160F3C458E8
,,,,,,
Reality Bites (1994),6.6,87,"42,226",https://www.imdb.com/title/tt0110950/,https://yts.am/torrent/download/527B5ABF203D80EA180DC18C5F5C63FEF3AF06A0,https://yts.am/torrent/download/7B2EA9F7F0B95FE5682988CB65E17450F2F6248D
,,,,,,
Patrick (2013),4.9,122,"84,643",https://www.imdb.com/title/tt2147459/,https://yts.am/torrent/download/E21620E7D5D08B04AA4A047B078F319585F4CEBB,https://yts.am/torrent/download/062328BECAFCDB55829C8CEC24B99DE9E04F1F39
,,,,,,
Bedazzled (1967),7,83,"45,029",https://www.imdb.com/title/tt0061391/,https://yts.am/torrent/download/9AE29F781247D084AD4F1148AE7A684BFCC1A6DB,https://yts.am/torrent/download/FDE2B34F93C216DFD99E8ED4A6FA9DA8A797A9DD
,,,,,,
Stonados (2013),3.1,72,"48,351",https://www.imdb.com/title/tt2494032/,https://yts.am/torrent/download/312A601874082766FCA7DA6BA2CDF3027199B78B,https://yts.am/torrent/download/973579555B5EC34340EEAFAD4E40A531A827ABF2
,,,,,,
Jane Eyre (1943),7.6,59,"17,911",https://www.imdb.com/title/tt0036969/,https://yts.am/torrent/download/68E12642EB282F8DC6AA7EF6D73128579E0FB5D2,https://yts.am/torrent/download/03AC4103F1C65CEA01BDED5904D52F42A546C175
,,,,,,
Magic Magic (2013),5,102,"83,089",https://www.imdb.com/title/tt1929308/,https://yts.am/torrent/download/4AB869A494E00DFA7A825810D737CDAACA0B41BE,https://yts.am/torrent/download/FFF212D8C28D5E7A3F8284C9A1E9E4B26C747F79
,,,,,,
Blood Ties (2013),6.5,164,"1,25,924",https://www.imdb.com/title/tt1747958/,https://yts.am/torrent/download/F018ABEEADACE1FF6184C2147F6610AB99208D5A,https://yts.am/torrent/download/322504EFB3122D3F80704EF0B7FEA8347DA5911E
,,,,,,
Dracula: The Dark Prince (2013),3.9,111,"1,14,383",https://www.imdb.com/title/tt2287214/,https://yts.am/torrent/download/5D6F455A211FABA822C52DBB26B6842B9BC6750E,https://yts.am/torrent/download/3286C18827A3C165E8EDFB75C0A61092B973FF47
,,,,,,
White of the Eye (1987),6.3,49,"22,445",https://www.imdb.com/title/tt0094320/,https://yts.am/torrent/download/1478A5E1A84A6E387740332CC152AB777A2AF325,https://yts.am/torrent/download/9A004FF120A3B6D1F7C2A39CFC576230FA92F5D3
,,,,,,
Endless Bummer (2009),3.8,75,"76,299",https://www.imdb.com/title/tt2657138/,https://yts.am/torrent/download/409BF41E6F7C4FABAE795F0C40A687002C828365,https://yts.am/torrent/download/1A8611C9D746C3AB9EAC47BAE6B671BF1C8A4A5F
,,,,,,
Dead Men Don't Wear Plaid (1982),6.8,56,"20,766",https://www.imdb.com/title/tt0083798/,https://yts.am/torrent/download/4084CBD020CC3A9151C7C4F787E8914D610616EB,https://yts.am/torrent/download/D4B4707D8E1CD7F597AF89D4E3C63B8441EAFA05
,,,,,,
Black Nativity (2013),4.6,37,"29,068",https://www.imdb.com/title/tt1425922/,https://yts.am/torrent/download/3FF4DD29130DCC8972D47ED121FBFB2A4C1DF518,https://yts.am/torrent/download/5A048AD452996F7A813690A9F211DBEC395FD192
,,,,,,
The Legend of Hercules (2014),4.2,472,"4,78,425",https://www.imdb.com/title/tt1043726/,https://yts.am/torrent/download/6726C4729FD9E1ABB3D43B6D407377873E1EAD1A,https://yts.am/torrent/download/59D4D095FAC171A6067214B4A52B190C2F465593
,,,,,,
White Dog (1982),7.1,80,"32,017",https://www.imdb.com/title/tt0084899/,https://yts.am/torrent/download/6F4664515CE566B98EBCF92326504EDEAC0AD5A9,https://yts.am/torrent/download/6279F38F722D1E02AA9C5AA0AE7443D4D78C4ACF
,,,,,,
Copperhead (2013),5.6,53,"35,661",https://www.imdb.com/title/tt2404555/,https://yts.am/torrent/download/84F52A84CC685712BC3CAD937E3C3C35CDEBA2C5,https://yts.am/torrent/download/CF022F3E3A0B79A9F8F7E15E562EF2320BE13482
,,,,,,
Date and Switch (2014),5.8,152,"1,60,134",https://www.imdb.com/title/tt1878942/,https://yts.am/torrent/download/92900651664400A28C02079C8DF83DBFFAECF1F1,https://yts.am/torrent/download/27088C41019307AF4E4A8AFC88057487C61744EA
,,,,,,
Dom Hemingway (2013),6.2,184,"1,30,425",https://www.imdb.com/title/tt2402105/,https://yts.am/torrent/download/F0F13A56C4A0B0A98ED674CE0062B3F3AB2EC9B7,https://yts.am/torrent/download/916D9BD8DA55B339A4539898B39385550C56B35B
,,,,,,
Hunky Dory (2011),6.2,45,"15,752",https://www.imdb.com/title/tt1727300/,https://yts.am/torrent/download/369292290A86DF173A714989E106475765084DA8,https://yts.am/torrent/download/CBEC64EFC06EFF3DBB19A88DD165EE608651D928
,,,,,,
A Walk to Remember (2002),7.4,335,"3,73,862",https://www.imdb.com/title/tt0281358/,https://yts.am/torrent/download/6761AED3550BC49E9CDFB7D63142D1996F26ED0C,https://yts.am/torrent/download/5F19F9875794114AE4241E4929F4542A388F6E52
,,,,,,
The Invisible Woman (2013),6.2,142,"89,858",https://www.imdb.com/title/tt1700845/,https://yts.am/torrent/download/A9C4C91EADAE358EB425E10F131DAE740BAD9785,https://yts.am/torrent/download/E421C6C12D8003559D76FDEC3DD8E3B325CB0910
,,,,,,
Paranormal Activity: The Marked Ones (2014),5,255,"2,23,436",https://www.imdb.com/title/tt2473682/,https://yts.am/torrent/download/376C8696985D61539291E03580D4C1841F6DEE9C,https://yts.am/torrent/download/D8C3BBBFD0D0E7F860079EC0BDE34B782FE751B2
,,,,,,
The Secret Life of Walter Mitty (2013),7.3,862,"6,99,651",https://www.imdb.com/title/tt0359950/,https://yts.am/torrent/download/8B434B411B8CF5CACCF5053944448DCA8EFB2431,https://yts.am/torrent/download/15EB8FF6F65CB51F59E95F6BE55EFE22DC70D707
,,,,,,
Bad Ass 2: Bad Asses (2014),5.6,181,"1,62,466",https://www.imdb.com/title/tt2996648/,https://yts.am/torrent/download/8CDF77294717CBB76DEDBEFB75A81A1E6E453201,https://yts.am/torrent/download/6F9105790749EECB3244C659E0DB6FD2701CB48C
,,,,,,
Grudge Match (2013),6.4,341,"2,33,543",https://www.imdb.com/title/tt1661382/,https://yts.am/torrent/download/AE6FC6240ABC32224F64833EECF11A11B7F6CAE6,https://yts.am/torrent/download/634B31E371AE68D8FB5A603C901EC19C609E7A5D
,,,,,,
Philomena (2013),7.6,188,"1,04,898",https://www.imdb.com/title/tt2431286/,https://yts.am/torrent/download/F2F8EC57CF1492C2264B5F212143221AADEA74DC,https://yts.am/torrent/download/1A56573DFB7EB12D56D39F673A8E2F4801C89C92
,,,,,,
The King of Comedy (1982),7.8,155,"51,324",https://www.imdb.com/title/tt0085794/,https://yts.am/torrent/download/D02CA97B4189E57A2D33475AA819B15D75EC1F7A,https://yts.am/torrent/download/F6942C8CDCD0E798786ECCFAE94A4EBFF5F801F6
,,,,,,
The King of Comedy (1982),7.8,155,"51,324",https://www.imdb.com/title/tt0085794/,https://yts.am/torrent/download/D02CA97B4189E57A2D33475AA819B15D75EC1F7A,https://yts.am/torrent/download/F6942C8CDCD0E798786ECCFAE94A4EBFF5F801F6
,,,,,,
The Swimmer (1968),7.7,48,"22,800",https://www.imdb.com/title/tt0063663/,https://yts.am/torrent/download/8EC7D1E6A738326CC9080601EC21A64C707B9467,https://yts.am/torrent/download/C7293DB9F04243E12E4E7363BAF92198E59DF139
,,,,,,
Kramer vs. Kramer (1979),7.8,99,"39,739",https://www.imdb.com/title/tt0079417/,https://yts.am/torrent/download/E4C56DE1C18C7E458AD9866F76F488D8868CB93A,https://yts.am/torrent/download/C7293DB9F04243E12E4E7363BAF92198E59DF139
,,,,,,
Lone Survivor (2013),7.5,796,"8,08,201",https://www.imdb.com/title/tt1091191/,https://yts.am/torrent/download/D21B6FEC98653908CA62002A16B149E8C6FC77C4,https://yts.am/torrent/download/2127BD1C243C168C8AD59D839CF38E4BEA2DBBDB
,,,,,,
Anchorman 2: The Legend Continues (2013),6.3,410,"3,96,573",https://www.imdb.com/title/tt1229340/,https://yts.am/torrent/download/C820DC04AA76CBB582F63B716231407D738C123C,https://yts.am/torrent/download/AE80C7D0F0EBABBF2582DAD984FC763351AB13BD
,,,,,,
The Pirate Fairy (2014),6.7,418,"4,34,463",https://www.imdb.com/title/tt2483260/,https://yts.am/torrent/download/BC74F12209BE2F0AF2D518B9A5ECFCBCE8177660,https://yts.am/torrent/download/3CFABEE6C46F0068BF9D63DD811935965BB8BEED
,,,,,,
47 Ronin (2013),6.3,908,"6,93,531",https://www.imdb.com/title/tt1335975/,https://yts.am/torrent/download/3DC049453F2A0E378E6F9FB56083269B56045DE4,https://yts.am/torrent/download/533226D494A43CFFD584470F55780CAB03C30F05
,,,,,,
Seal Team Eight: Behind Enemy Lines (2014),4.6,151,"2,09,840",https://www.imdb.com/title/tt2992552/,https://yts.am/torrent/download/5AB2AB6A95D98513F5DC82BCDF533D7EBED4B3EA,https://yts.am/torrent/download/74E3F56722D6FDB862654A126A8034C0646B81FF
,,,,,,
I Am Soldier (2014),4.6,133,"1,84,797",https://www.imdb.com/title/tt2717318/,https://yts.am/torrent/download/807362EA9DAE43CD3C07E408148415D6448D40A9,https://yts.am/torrent/download/2B2995167B7E8F5228090AAD8442D41436E5E400
,,,,,,
Second in Command (2006),5.1,102,"61,896",https://www.imdb.com/title/tt0458471/,https://yts.am/torrent/download/8CE925A4B72D6D09267BB690F5122816F796F448,https://yts.am/torrent/download/625DB837744D4260C714551AC31BC85351F67A5C
,,,,,,
Death on the Nile (1978),7.3,102,"42,481",https://www.imdb.com/title/tt0077413/,https://yts.am/torrent/download/D432A5DD16BE86D19DD2AAF8C9C14FEA5016D14B,https://yts.am/torrent/download/D5888CAF0F1B46060E981E799A7BBF1B19E00406
,,,,,,
The Lady from Shanghai (1947),7.7,49,"25,208",https://www.imdb.com/title/tt0040525/,https://yts.am/torrent/download/164B01C9B89C8BEA71E59AB845991F8D52472FF2,https://yts.am/torrent/download/D5888CAF0F1B46060E981E799A7BBF1B19E00406
,,,,,,
Snake & Mongoose (2013),5.7,48,"38,004",https://www.imdb.com/title/tt1718898/,https://yts.am/torrent/download/2A2D304F87894B8F317D6738F5E27504A46B6F29,https://yts.am/torrent/download/BD289386BD001F34CA91840856895CBF36A53E10
,,,,,,
Bad Country (2014),5.8,193,"1,91,144",https://www.imdb.com/title/tt2350892/,https://yts.am/torrent/download/2476DFAE966C6B54549186AE291A54794CB4DA0E,https://yts.am/torrent/download/C2013A8674779FB5B787FB9EECC4779C1877740E
,,,,,,
Ms .45 (1981),6.8,76,"39,404",https://www.imdb.com/title/tt0082776/,https://yts.am/torrent/download/65EBD8DAF7A1024BDDD57088AA680494EA5B6599,https://yts.am/torrent/download/C4DE20F229FEAD0ECF90710E6B78A0ED5112C01F
,,,,,,
Silent House (2011),5.3,90,"67,033",https://www.imdb.com/title/tt1767382/,https://yts.am/torrent/download/1C6FB7798B2D5BD6AC56B83A64BC6E5C17F98AA3,https://yts.am/torrent/download/C6E4A97242D822387FE81838575E0EF483AA988E
,,,,,,
You May Not Kiss the Bride (2011),5.4,120,"90,929",https://www.imdb.com/title/tt1381418/,https://yts.am/torrent/download/F66CB0C6CD7C7D065B952324D24DD74B6A857520,https://yts.am/torrent/download/23F48FDA2CFE91B3174712588376856A920FDD2D
,,,,,,
Call of the Wild (1935),6.9,58,"27,835",https://www.imdb.com/title/tt0026164/,https://yts.am/torrent/download/878AD5325F13D5C0654B65A91B0776CB9F020B8F,https://yts.am/torrent/download/23F48FDA2CFE91B3174712588376856A920FDD2D
,,,,,,
The Wolf of Wall Street (2013),8.2,373,"18,05,158",https://www.imdb.com/title/tt0993846/,https://yts.am/torrent/download/4566F10EA019B949176377FE064404B65B6ACA82,https://yts.am/torrent/download/4B642D022980E5EBAA7CF4B6E1CC93769921CB42
,,,,,,
"South Park: Bigger, Longer & Uncut (1999)",7.8,194,"1,81,075",https://www.imdb.com/title/tt0158983/,https://yts.am/torrent/download/95EBD5FE833A6D35988955234C3119FE1A05D538,https://yts.am/torrent/download/04AC27DCF18C68470F35969517B477003C325301
,,,,,,
The Outsider (2014),4.7,155,"1,94,360",https://www.imdb.com/title/tt2198241/,https://yts.am/torrent/download/95CD9C78DBA175C8B700BB5A49D87E8AF8265D69,https://yts.am/torrent/download/E3741BA7364355F43BBC30EDDD3C2CC03D741573
,,,,,,
Walking with Dinosaurs 3D (2013),5.2,282,"2,65,201",https://www.imdb.com/title/tt1762399/,https://yts.am/torrent/download/54A46DD37B57724CDE8D3EE3AA6B34346962A517,https://yts.am/torrent/download/850599D71F77E5B19D8E9B9BA48855049755D285
,,,,,,
The Switch (2010),6.1,215,"1,46,202",https://www.imdb.com/title/tt0889573/,https://yts.am/torrent/download/F38F1BA92B293D333A9E10D214B30478019EFD1D,https://yts.am/torrent/download/65B691AF13082CD59EF37ED8A0859A359B35B7C9
,,,,,,
Species (1995),5.8,141,"68,541",https://www.imdb.com/title/tt0114508/,https://yts.am/torrent/download/7082F227F27D9968E152A7443853DC6EC2C291EF,https://yts.am/torrent/download/3E7CE1BB2091072C3263452715EFBDD4C5ADEF58
,,,,,,
Flipped (2010),7.7,254,"1,61,348",https://www.imdb.com/title/tt0817177/,https://yts.am/torrent/download/E1E9BCF1DA2E21FBA8C2BB865F9201F3F71E4723,https://yts.am/torrent/download/F51A5CD997F5C0C548AFE1A102121E016E55C6E2
,,,,,,
Inside Job (2010),8.3,287,"4,24,949",https://www.imdb.com/title/tt1645089/,https://yts.am/torrent/download/DA7FF4AAC5836F3291FA3113A5E2EC7075E8D2D2,https://yts.am/torrent/download/CAE2D86C74D18FA12906FE9FB9D23F60D8030525
,,,,,,
Secret Window (2004),6.6,255,"1,05,072",https://www.imdb.com/title/tt0363988/,https://yts.am/torrent/download/7F30E48EFC5ACB81C9B0A680E3A32CA8C1F34DFA,https://yts.am/torrent/download/0C57C5BE5DBF4B51B8024F339EE7E30CF7F7B33E
,,,,,,
The Golden Compass (2007),6.1,228,"1,47,203",https://www.imdb.com/title/tt0385752/,https://yts.am/torrent/download/CA998DFFC1CAC7792097FBB40929D8E5D895BC95,https://yts.am/torrent/download/6434B683ABD899CED8EA59AC8006B19D8988E890
,,,,,,
The Imposter (2012),7.5,175,"1,02,925",https://www.imdb.com/title/tt1966604/,https://yts.am/torrent/download/CA96E5F36331BE2DA2990C24F09A417422673F2A,https://yts.am/torrent/download/F0E8CB219B0A49DF63548B725412DE0E4E86D04E
,,,,,,
A History of Violence (2005),7.5,182,"87,549",https://www.imdb.com/title/tt0399146/,https://yts.am/torrent/download/697C00243EA75BE0CCAEED2739D5E31873F1357A,https://yts.am/torrent/download/0D4512D7D7CE067775F56BBC1864A4F7F4AF8010
,,,,,,
Man Without a Star (1955),7,55,"24,821",https://www.imdb.com/title/tt0048340/,https://yts.am/torrent/download/DDDEB6B430B0C76EE88C7EBBB3633FB71E4D49F5,https://yts.am/torrent/download/3F62AD2BE0E4757BD15D57D6904FDD05F62AA142
,,,,,,
I Will Follow You Into the Dark (2012),4.6,96,"46,298",https://www.imdb.com/title/tt2179087/,https://yts.am/torrent/download/EDA7BFD61A1786643184CE63406289CE4AC2C147,https://yts.am/torrent/download/934C7B93E2EB75F395F66FBD991CD69B97206692
,,,,,,
The Bag Man (2014),5.3,208,"1,35,831",https://www.imdb.com/title/tt2212008/,https://yts.am/torrent/download/5689F9EBDBEC7F40EC918630CC1D83EC75B91A1B,https://yts.am/torrent/download/DF30C338EA87E9A88E08BD2A69FF6321827EB4FD
,,,,,,
The Returned (2013),5.9,134,"1,09,827",https://www.imdb.com/title/tt2093270/,https://yts.am/torrent/download/BEA252656601C92A388DD1477FF9D429C57AE468,https://yts.am/torrent/download/CCC3FC8D133225D3A24449F08A94A83A8184A8A1
,,,,,,
Romeo & Juliet (2013),5.8,168,"1,40,556",https://www.imdb.com/title/tt1645131/,https://yts.am/torrent/download/8A695AD2B390B10EBED800DDB87F15CCBD12C73D,https://yts.am/torrent/download/77361550C9E1416B14D27FE5A8187189E1CAF0D4
,,,,,,
Delivery Man (2013),6.4,452,"4,78,921",https://www.imdb.com/title/tt2387559/,https://yts.am/torrent/download/80B0F2788FD33CBB6272049EDFE3911F6AEAE5AC,https://yts.am/torrent/download/FACB4AC6E6FE3E43E26575C0D5708A7411D0603B
,,,,,,
Breaking the Waves (1996),7.9,119,"66,917",https://www.imdb.com/title/tt0115751/,https://yts.am/torrent/download/BB5F8A875826A247E2CD1BF9E85EEBD958629204,https://yts.am/torrent/download/C46591EBCC6E39019FF01C4F98DBF342D65D0A1A
,,,,,,
The Human Race (2013),5.3,123,"79,100",https://www.imdb.com/title/tt1427298/,https://yts.am/torrent/download/7F4AE19359EAD20F37E883553C061B2BBF44E79B,https://yts.am/torrent/download/4F296B90EF2826155299D87E4DBEC5ADBA99DE23
,,,,,,
The Book of Esther (2013),0,65,"56,181",https://www.imdb.com/title/tt2521404/,https://yts.am/torrent/download/12D1C43D4BD5F026950C4D2227E430CFBC7180F2,https://yts.am/torrent/download/C98476765A7832879D21DF7F4F93D89AFBB308DE
,,,,,,
Reasonable Doubt (2014),5.7,237,"2,71,418",https://www.imdb.com/title/tt2304953/,https://yts.am/torrent/download/48C6F7CEC1553BBE0301CEBD08F675D2EFBD4BB6,https://yts.am/torrent/download/9E7A3FB9A7E7C6F48E234DBE0F506124D0C7E49A
,,,,,,
The Mercury Conspiracy (2013),3.8,49,"38,492",https://www.imdb.com/title/tt2542502/,https://yts.am/torrent/download/B47FC1164A2AEA1D97F99EABD0A7F8E789D2C729,https://yts.am/torrent/download/7905FD033D374E6C823EB04A00F9BDA4F8DC5E57
,,,,,,
August: Osage County (2013),7.2,266,"1,52,676",https://www.imdb.com/title/tt1322269/,https://yts.am/torrent/download/5664511B41F808FD08F656D521F58C51DF3FB4D5,https://yts.am/torrent/download/7BB8AAD28865077632124B53DD4A34D70BCCF16E
,,,,,,
Way Down East (1920),7.8,74,"23,796",https://www.imdb.com/title/tt0011841/,https://yts.am/torrent/download/6FD9030F3F85016CA85FB4E5B59F6DAED4AA2887,https://yts.am/torrent/download/2352479DB1CC97FAB2101810F6D470DF1CE27BB5
,,,,,,
Android Cop (2014),3.2,115,"1,37,260",https://www.imdb.com/title/tt3393070/,https://yts.am/torrent/download/AD8C85C1EAE6DDC6BBB3BFA7245240CBB7EA5FBE,https://yts.am/torrent/download/DBF441C246840512F8629D6E2BF647C8DF13A738
,,,,,,
